ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),PCA1,PCA2,Cluster,Inequality Status
SSD,South Sudan,Africa,Northern Hemisphere,Low,SSA,1.77499416191174,1.28514611986356,1.2898819018784,1.27395356415716,1.32150134664824,1.35315300203412,1.38768279977636,1.37099649258429,1.39483734370098,1.40836631301257,1.41308388762128,1.45254531077199,1.45254531077199,4.73709249713904,-0.0793543664159063,1,Medium Inequality
STP,Sao Tome and Principe,Africa,Northern Hemisphere,Medium,SSA,0.802712403292507,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.985412908353225,-0.984556021920894,-1.04107016896415,-1.02103798205672,-0.984025182751742,0.580772030881668,0.623614391155007,0.623614391155007,-1.00014729381326,0.101588181886984,0,Low Inequality
SUR,Suriname,America,Northern Hemisphere,High,LAC,0.0872597884594878,1.98391216877583,1.97321039995106,1.94589992676983,2.00093640011826,2.03570117918945,2.08005895917157,-0.029889855523742,-0.0590572403800328,3.39865783471725,3.40207313573676,3.43345507818441,3.43345507818441,7.3952345701203,-0.683119293993774,1,Medium Inequality
SVK,Slovakia,Europe,Northern Hemisphere,Very High,SSA,-0.903366909001616,-1.60084527008281,-1.51454305795122,-1.50349563534264,-1.50680684266637,-1.20696941062542,-1.20930270686786,-1.39867570441076,-1.51663519124259,-1.47480487487387,-1.46820080391517,-1.7276162694081,-1.7276162694081,-5.14540289735729,-0.111185384619011,2,High Inequality
SVN,Slovenia,Europe,Northern Hemisphere,Very High,SSA,-1.30695556352281,-1.79696956186662,-1.62756920210106,-1.54585836202158,-1.483402275523,-1.40007602242636,-1.4922453406638,-1.58749832932436,-1.82223217990742,-1.85224694305337,-1.84539590684788,-1.8318916415457,-1.8318916415457,-5.80080852648805,0.0855622220119141,2,High Inequality
SWE,Sweden,Europe,Northern Hemisphere,Very High,SSA,-1.60047458499276,-1.61342589694746,-1.3887759515525,-1.27111593646045,-1.29745429689941,-1.13497519889742,-1.13627185354017,-1.22912588301128,-1.28274070485185,-1.30240898949105,-1.29591771939895,-1.21932354722057,-1.21932354722057,-4.42832145616911,-0.370242553837119,2,High Inequality
SWZ,Eswatini,Africa,Southern Hemisphere,Medium,SSA,0.912782036343741,2.01630904117868,2.00489154158029,1.97705335874467,2.03243703007525,2.11380670918211,2.1592891273763,2.15555742364267,2.18063710003137,2.18652760071433,2.19073601428705,2.22703853381018,2.22703853381018,7.35513401511169,-0.107055497265638,1,Medium Inequality
SYC,Seychelles,Africa,Southern Hemisphere,High,SSA,-0.408053560271064,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,0.931634808976599,0.961500123274642,0.990390527834863,0.967034026716164,0.990237019265274,1.00769895859937,1.01267869506127,1.05376660565014,1.05376660565014,2.59054056459046,-1.34516976676013,1,Medium Inequality
SYR,Syrian Arab Republic,Asia,Northern Hemisphere,Medium,AS,1.02285166939497,-0.636627029025748,-0.589434303468301,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.553218030015814,-0.516168542621563,0,Low Inequality
TCD,Chad,Africa,Northern Hemisphere,Low,SSA,1.75664922306987,1.07498083907001,1.08435971616942,1.07185474124422,1.1171501778761,1.14786551056216,0.861217905603574,0.835692707781858,0.858688311792087,0.877428987429014,0.621147134832966,0.66382548724474,0.66382548724474,3.13064454687425,0.582801410950927,1,Medium Inequality
TGO,Togo,Africa,Northern Hemisphere,Low,SSA,1.24299093549744,0.0805817803477502,0.111929506746251,0.115622206000113,0.150260646415295,0.390868896005875,0.411542805738587,0.378467951575915,0.643455567716168,0.664288441206601,0.669492875629658,0.711974842625969,0.711974842625969,1.4709149027143,-0.774238701896472,0,Low Inequality
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,-0.518123193322298,0.644430500469449,-0.0555774666642547,-0.0316169786887095,0.18999678776698,0.216463968751242,0.234626629337043,0.198581505454325,0.220571107983623,0.245514684809332,-0.440909928684055,-0.393917390281396,-0.393917390281396,0.169043246232212,0.52171478302608,0,Low Inequality
